timestamp,dx_down,dy_down,dx_forward,dy_forward,dx_left,dy_left,dx_right,dy_right
0.0,0,0,0,-6,-1,-6,-1,-6
0.1,6,0,2,-8,-1,-9,0,-8
0.2,13,0,5,-10,0,-9,0,-9
0.30000000000000004,18,0,9,-11,-1,-10,0,-11
0.4,25,0,11,-11,0,-11,0,-11
0.5,32,-1,15,-12,0,-11,-1,-11
0.6000000000000001,36,0,18,-11,-1,-12,-1,-12
0.7000000000000001,40,-1,19,-11,-1,-12,0,-12
0.8,45,0,22,-11,-1,-10,-1,-10
0.9,47,0,23,-10,0,-10,0,-9
1.0,49,-1,24,-8,0,-8,0,-9
1.1,49,-1,23,-7,0,-8,-1,-8
1.2000000000000002,47,0,23,-7,0,-6,0,-7
1.3,46,-1,23,-5,-1,-6,0,-5
1.4000000000000001,43,0,21,-5,-1,-4,-1,-5
1.5,39,0,18,-5,0,-5,0,-5
1.6,34,-1,16,-4,-1,-5,0,-4
1.7000000000000002,30,-1,14,-4,-1,-4,-1,-4
1.8,23,-1,10,-4,0,-5,-1,-5
1.9000000000000001,17,0,7,-5,0,-6,0,-6
2.0,10,-1,5,-7,-1,-7,-1,-7
2.1,2,-1,0,-8,0,-8,-1,-8
2.2,-4,0,-2,-8,0,-8,-1,-8
2.3000000000000003,-10,0,-6,-9,0,-10,-1,-10
2.4000000000000004,-17,0,-8,-11,-1,-10,0,-11
2.5,-25,0,-12,-12,-1,-11,0,-11
2.6,-30,0,-14,-11,0,-12,-1,-11
2.7,-37,0,-17,-11,0,-12,0,-12
2.8000000000000003,-40,0,-21,-11,-1,-11,-1,-12
2.9000000000000004,-45,-1,-22,-10,0,-10,0,-10
3.0,-48,0,-23,-10,0,-10,-1,-10
3.1,-48,0,-25,-9,-1,-8,0,-8
3.2,-49,0,-24,-8,0,-7,0,-8
3.3000000000000003,-48,0,-25,-7,0,-6,0,-6
3.4000000000000004,-48,-1,-24,-5,-1,-6,-1,-6
3.5,-45,-1,-23,-4,-1,-4,-1,-4
3.6,-41,0,-20,-4,0,-4,0,-4
3.7,-36,-1,-18,-5,0,-5,-1,-5
3.8000000000000003,-31,-1,-16,-4,-1,-5,0,-4
3.9000000000000004,-24,-1,-13,-5,0,-4,-1,-5
4.0,-18,0,-9,-5,-1,-6,0,-5
4.1000000000000005,-11,-1,-5,-6,0,-7,-1,-7
4.2,-4,-1,-1,-7,-1,-8,0,-8
4.3,3,-1,0,-9,0,-8,0,-9
4.4,10,-1,4,-10,0,-9,0,-9
4.5,17,-1,8,-10,0,-10,0,-10
